variant,batch,question_count,raw_em,gold_sf_recall,retrieval_calls,processed_em,processed_f1
step50,1,16,0.375,0.7812,1.688,0.375,0.5645833333333333
step50,2,16,0.25,0.7812,1.5,0.25,0.4507936507936508
step50,3,16,0.25,0.6562,1.312,0.3125,0.46944444444444444
step50,4,16,0.25,0.625,1.312,0.25,0.3645833333333333
step50,5,16,0.5,0.7812,1.438,0.5625,0.6116071428571429
step50,6,16,0.625,0.875,1.375,0.625,0.6798750226956364
step50,7,16,0.25,0.6875,1.562,0.25,0.35625
step50,8,16,0.1875,0.7188,1.375,0.1875,0.3020833333333333
step50,9,16,0.4375,0.8438,1.562,0.4375,0.5018939393939394
step50,10,16,0.6875,0.75,1.5,0.6875,0.7375
step50,11,16,0.1875,0.75,1.438,0.3125,0.4270833333333333
step50,12,16,0.3125,0.6875,1.562,0.3125,0.40327380952380953
step50,13,16,0.625,0.6875,1.188,0.75,0.78125
step50,14,16,0.1875,0.625,1.5,0.1875,0.32876984126984127
step50,15,16,0.375,0.7812,1.625,0.4375,0.546780303030303
step50,16,16,0.375,0.6875,1.438,0.375,0.48651960784313725
step75,1,16,0.25,0.75,1.5,0.3125,0.4107142857142857
step75,2,16,0.1875,0.75,1.438,0.25,0.42251984126984127
step75,3,16,0.3125,0.7188,1.375,0.3125,0.4965277777777778
step75,4,16,0.125,0.5938,1.25,0.125,0.2743055555555556
step75,5,16,0.5,0.7812,1.5,0.5,0.5678571428571428
step75,6,16,0.4375,0.8125,1.312,0.4375,0.5355552342394447
step75,7,16,0.375,0.6562,1.625,0.375,0.48125
step75,8,16,0.1875,0.5625,1.312,0.1875,0.38798076923076924
step75,9,16,0.375,0.75,1.375,0.375,0.3977272727272727
step75,10,16,0.625,0.75,1.438,0.6875,0.6875
step75,11,16,0.125,0.6562,1.312,0.25,0.45650252525252527
step75,12,16,0.375,0.625,1.5,0.375,0.4583333333333333
step75,13,16,0.5625,0.7812,1.375,0.5625,0.6410714285714286
step75,14,16,0.25,0.5938,1.562,0.25,0.39126984126984127
step75,15,16,0.375,0.75,1.438,0.4375,0.5574754901960784
step75,16,16,0.25,0.6875,1.375,0.25,0.36553030303030304
step100,1,16,0.375,0.7812,1.625,0.375,0.4543269230769231
step100,2,16,0.1875,0.5938,1.25,0.1875,0.23958333333333334
step100,3,16,0.25,0.6875,1.188,0.25,0.4638888888888889
step100,4,16,0.25,0.625,1.312,0.25,0.4222222222222222
step100,5,16,0.5,0.75,1.312,0.5,0.5125
step100,6,16,0.375,0.8438,1.188,0.375,0.5190718086944502
step100,7,16,0.25,0.5938,1.188,0.25,0.33125
step100,8,16,0.3125,0.5938,1.312,0.3125,0.4479166666666667
step100,9,16,0.375,0.8438,1.375,0.375,0.4706439393939394
step100,10,16,0.625,0.6562,1.25,0.6875,0.7291666666666666
step100,11,16,0.125,0.6562,1.25,0.25,0.4576388888888889
step100,12,16,0.375,0.5625,1.312,0.375,0.4
step100,13,16,0.625,0.75,1.25,0.625,0.65625
step100,14,16,0.25,0.5938,1.438,0.25,0.38975256769374417
step100,15,16,0.3125,0.7188,1.25,0.375,0.5458333333333333
step100,16,16,0.375,0.6562,1.25,0.375,0.44886363636363635
