episode,loss,mean_R,avg_turns,online_em,answer_rate,sf_recall,retrievals,fmt,empty,kl,rolling10_mean_R,rolling10_online_em,rolling10_sf_recall,rolling10_retrievals,rolling10_kl
1,0.0004,0.12,2.76,0.039,0.984,0.613,1.77,0.0,0.0,0.0,0.12,0.039,0.613,1.77,0.0
2,0.0,0.285,2.73,0.211,1.0,0.781,1.73,0.0,0.0,0.0002,0.20249999999999999,0.125,0.6970000000000001,1.75,0.0001
3,0.0,0.244,2.54,0.188,0.977,0.699,1.56,0.0,0.0,0.0005,0.21633333333333335,0.146,0.6976666666666667,1.6866666666666668,0.00023333333333333333
4,-0.0029,0.074,2.3,0.016,0.992,0.492,1.3,0.0,0.0,0.0008,0.18075,0.1135,0.64625,1.59,0.000375
5,0.0012,0.285,2.6,0.195,0.992,0.719,1.61,0.0,0.0,0.0012,0.2016,0.1298,0.6607999999999999,1.594,0.00054
6,-0.0027,0.228,3.07,0.188,0.984,0.699,2.08,0.008,0.0,0.002,0.206,0.13949999999999999,0.6671666666666667,1.675,0.0007833333333333334
7,0.0002,0.267,2.72,0.203,0.977,0.734,1.74,0.0,0.0,0.0017,0.2147142857142857,0.14857142857142858,0.6767142857142857,1.6842857142857144,0.0009142857142857144
8,-0.003,0.338,2.57,0.242,1.0,0.535,1.57,0.0,0.0,0.0034,0.230125,0.16025,0.659,1.67,0.001225
9,0.0,0.189,2.52,0.133,0.984,0.633,1.53,0.0,0.0,0.004,0.22555555555555554,0.15722222222222224,0.6561111111111111,1.6544444444444446,0.0015333333333333334
10,-0.0028,0.28,2.71,0.203,0.969,0.75,1.73,0.008,0.0,0.0047,0.231,0.1618,0.6655,1.6620000000000001,0.0018499999999999999
11,0.0,0.204,2.84,0.148,0.977,0.645,1.86,0.0,0.0,0.0045,0.2394,0.17270000000000002,0.6687000000000001,1.671,0.0023
12,0.0001,0.444,2.77,0.359,1.0,0.535,1.77,0.0,0.0,0.0069,0.25529999999999997,0.1875,0.6441,1.675,0.00297
13,-0.0053,0.257,2.93,0.188,0.984,0.766,1.95,0.0,0.0,0.0064,0.2566,0.1875,0.6508,1.714,0.00356
14,-0.0024,0.408,2.73,0.328,0.992,0.828,1.74,0.0,0.0,0.0071,0.29,0.21869999999999998,0.6844,1.7580000000000002,0.00419
15,-0.0028,0.315,2.7,0.25,1.0,0.73,1.7,0.0,0.0,0.0099,0.29300000000000004,0.2242,0.6855,1.7670000000000001,0.00506
16,-0.003,0.414,2.39,0.336,1.0,0.711,1.39,0.0,0.0,0.0261,0.3116,0.23900000000000002,0.6867,1.698,0.00747
17,0.001,0.28,2.79,0.203,0.969,0.859,1.82,0.0,0.0,0.0145,0.3129,0.23900000000000002,0.6992,1.706,0.00875
18,0.0014,0.378,2.48,0.297,0.984,0.633,1.48,0.008,0.0,0.0259,0.3169,0.2445,0.709,1.6969999999999998,0.011
19,0.0003,0.416,2.61,0.344,0.992,0.641,1.62,0.0,0.0,0.0185,0.3396,0.2656,0.7098,1.706,0.01245
20,0.0002,0.715,2.3,0.602,1.0,0.676,1.3,0.0,0.0,0.0155,0.3831,0.3055,0.7024,1.6629999999999998,0.01353
21,-0.0027,0.414,2.69,0.32,1.0,0.496,1.69,0.0,0.0,0.0232,0.4041,0.3227,0.6875,1.6460000000000001,0.0154
22,-0.0058,0.76,2.52,0.664,1.0,0.734,1.52,0.0,0.0,0.0398,0.43570000000000003,0.3532,0.7074,1.621,0.018690000000000002
23,-0.0028,0.5,2.36,0.406,1.0,0.547,1.36,0.0,0.0,0.0461,0.45999999999999996,0.375,0.6855,1.562,0.02266
24,0.0003,0.24,2.43,0.172,1.0,0.539,1.43,0.0,0.0,0.0325,0.44320000000000004,0.3594,0.6566,1.5310000000000001,0.0252
25,0.0004,0.394,2.48,0.305,1.0,0.574,1.48,0.0,0.0,0.0379,0.4511,0.3649,0.641,1.509,0.028000000000000004
26,0.0005,0.599,2.44,0.508,1.0,0.812,1.44,0.0,0.0,0.051,0.46959999999999996,0.3821,0.6511,1.514,0.03049
27,-0.0026,0.493,2.58,0.398,1.0,0.742,1.58,0.0,0.0,0.044,0.4909,0.4016,0.6394,1.49,0.03344
28,0.0005,0.352,2.45,0.25,1.0,0.637,1.45,0.0,0.0,0.0456,0.4883,0.3969,0.6397999999999999,1.487,0.035410000000000004
29,0.0004,0.353,2.25,0.273,1.0,0.445,1.25,0.0,0.0,0.0403,0.48200000000000004,0.38980000000000004,0.6202,1.45,0.03759
30,-0.0026,0.488,2.5,0.398,1.0,0.602,1.5,0.0,0.0,0.0498,0.4593,0.3694,0.6128,1.47,0.04102
31,0.0005,0.565,2.56,0.469,1.0,0.723,1.56,0.0,0.0,0.0486,0.4744,0.3843,0.6355000000000001,1.457,0.04356
